,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,786198,199159,342764,817692,838810,538419,313856,113377,142507,185165,120113,135581,139865,352928,167001,621488,113780,93009,123185,92334,83475,75123,81359,119435,98889,77688,45920,31856,26330,14078,7390,13226
1,592903,53239,85635,207713,188038,139833,91576,58592,139194,216198,112622,129580,141395,205406,208725,361039,224996,234047,285089,439929,508939,467805,350077,287829,236659,211724,187446,132346,87066,65607,48252,212501
2,0,0,0,48,1150,24340,43193,87628,78446,66604,94881,135222,174369,221127,266957,277561,372465,447925,420120,482706,467999,446286,407304,465352,355052,288424,242400,205004,163356,131532,104771,439778
3,0,0,0,8,211,19386,32599,121913,166135,71767,69326,65816,60131,65705,89429,111297,96013,112430,167368,350060,470009,469108,517472,806510,601664,487164,440629,342617,256464,194214,148237,578318
4,791401,56131,127355,222795,330509,212292,179505,203540,163860,335470,324279,285421,323241,394533,277517,344568,462895,265779,257713,230853,194379,186352,218835,134121,92913,78179,47058,34764,20892,14934,14929,84987
5,13,225,12518,110777,265454,364976,370636,415071,424123,391674,347380,358275,346208,297713,250312,293936,386983,437091,332680,257034,220729,189726,194338,155031,119507,91539,71796,43770,37197,20175,15712,89401
6,1007183,52848,97350,159179,240532,160954,113935,163617,273037,308843,264726,290294,252364,318816,260835,317695,543102,324434,227046,171299,125563,106573,89871,79157,106508,144848,197376,191963,100154,75221,53692,92985
7,0,0,0,0,0,0,173,4858,52787,121401,101369,99216,115794,186529,192248,242220,318964,335432,412309,417423,404892,321708,259959,217331,214771,433201,615263,568345,367525,265542,224449,418291
8,0,0,0,0,3,53,969,12468,58636,90173,127914,179307,185614,191002,137104,156959,208562,208622,183481,178285,212655,247497,258907,252291,386055,521983,610051,576521,402020,373226,339181,812461
9,255256,28357,79051,130867,190489,111546,86481,124135,217024,362858,308480,251152,242244,292500,230704,238096,291432,217799,252492,263834,264161,276364,224745,194243,160862,136162,105159,135849,136810,170992,196470,735386
10,541601,35212,76526,117204,180654,95540,63318,84715,99166,237006,219719,167576,219229,254522,219899,239527,406317,390332,463876,502997,494852,360732,249390,178517,141887,111853,94966,78276,71692,68270,101657,344972
11,198894,19022,40647,48995,47419,39977,44186,73523,109047,160287,154977,167819,198829,245758,263352,320880,386540,459581,492242,521111,532526,373270,254613,189260,171258,153512,134074,123960,119759,94461,128441,643780
12,423272,53032,128954,253383,383205,241689,109305,104976,83335,333679,263931,155796,141904,279760,151373,211539,346692,249585,293948,275807,263782,224897,230813,250196,312817,277616,196536,135835,111344,89710,87451,245838
13,134422,18288,30308,51894,76031,60234,50672,61335,80949,195083,138726,93003,128234,181847,228694,303519,413172,415917,490451,392669,276850,265596,395065,361859,357526,296649,267593,235655,208500,175372,146277,379610
14,859305,69504,174701,293094,469620,232659,171075,175766,125136,316716,307471,204820,266296,327552,214679,201892,360398,216155,278517,339166,282674,265671,190832,134505,93371,91499,68975,41207,25326,17536,16447,79435
15,0,0,0,3,520,32493,79423,123506,109421,103884,158085,232369,258512,277820,296166,292604,292503,331606,413872,575168,526440,480534,395236,349480,254156,229093,183627,162517,125757,107906,100602,418697
16,0,0,0,4,466,32390,84973,106765,94620,110669,168995,217741,231267,254526,275352,289180,364257,383437,448647,572790,490379,402760,324704,271708,217049,192307,168154,151677,134353,130424,132933,659473
17,298181,83684,192465,314759,423986,260098,174024,198670,163048,390842,338909,183899,213056,289798,180939,196412,397550,161583,233809,337757,306653,288307,234452,176503,139165,132562,112482,128292,76706,61062,44881,177466
18,468298,10870,14152,16616,26450,20285,32033,65390,94303,160305,198174,185894,213770,295198,431745,482066,547113,491655,460307,368470,264578,236492,318252,303785,378763,253201,152652,92808,69157,52772,31774,174672
19,221377,18764,16878,23225,25014,18704,16299,24896,60091,157474,219186,225996,227317,310571,439915,493697,504495,593057,601273,484991,300577,316496,350591,256119,280157,172777,115127,80885,55579,40996,31659,227817
20,540414,67161,142956,243652,399573,254923,196791,248936,200253,425648,376915,252597,295668,327021,201007,291291,868169,249936,199924,164088,146368,141470,131895,99301,77764,67294,51338,47391,51799,36858,36996,76603
21,3154,5167,85159,206820,377052,502420,500846,545321,549426,459590,373081,300638,252450,225997,212023,304014,310285,316960,264549,165584,97988,76098,116283,83990,67582,62020,69713,61815,63562,63977,86235,102201
22,225741,42263,94628,202663,332527,341903,349240,348759,327076,365924,334912,290395,276987,293398,238683,244978,365601,347950,340936,254318,194729,200925,198457,138242,105335,85873,70852,56903,49965,36029,39292,116516
23,488776,46146,105390,139432,219596,148110,129387,100111,105637,223938,241447,265939,327909,356455,270473,273040,390458,340772,296866,230942,266574,219154,147074,103504,105626,94155,132769,65428,78917,69135,95174,833666
24,0,0,0,11,295,3477,8970,26986,70775,91117,112943,169404,214567,250927,272744,318373,350710,385678,424253,437037,511852,403601,262163,227952,208715,203280,196211,195990,173148,146904,243869,1000048
25,732657,69329,146277,235111,349383,238159,148526,144317,135252,330273,268468,154590,174213,256583,174999,212047,425250,249867,290684,236944,230009,212392,166593,147106,124982,117963,140456,106726,139925,84295,131176,337448
